Time;Channel A;Channel B
(us);(V);(V)

-250,12495462;0,56474500;0,22293770
-249,96495462;0,56474500;0,17883850
-249,80495462;0,47715690;0,13473920
-249,64495462;0,47715690;0,09063997
-249,48495462;0,47715690;0,04654073
-249,32495462;0,43336280;0,04654073
-249,16495462;0,38956880;0,00244148
-249,00495463;0,34577470;0,00244148
-248,84495463;0,30198060;-0,08590961
-248,68495463;0,30198060;-0,08590961
-248,52495463;0,25818660;-0,13000880
-248,36495463;0,25818660;-0,13000880
-248,20495463;0,21439250;-0,17410810
-248,04495463;0,17059850;-0,21820730
-247,88495463;0,12680440;-0,26245920
-247,72495463;0,12680440;-0,26245920
-247,56495463;0,08301035;-0,30655840
-247,40495464;0,08301035;-0,35065770
-247,24495464;0,03921628;-0,35065770
-247,08495464;-0,00457778;-0,39475690
-246,92495464;-0,04837184;-0,43900880
-246,76495464;-0,09216590;-0,43900880
-246,60495464;-0,09216590;-0,48310800
-246,44495464;-0,13596000;-0,52720730
-246,28495464;-0,17975400;-0,57130650
-246,12495464;-0,22354810;-0,61555830
-245,96495464;-0,22354810;-0,61555830
-245,80495464;-0,26734220;-0,65965760
-245,64495465;-0,26734220;-0,70375680
-245,48495465;-0,31113620;-0,70375680
-245,32495465;-0,31113620;-0,74800870
-245,16495465;-0,39872430;-0,79210790
-245,00495465;-0,39872430;-0,79210790
-244,84495465;-0,44267100;-0,83620720
-244,68495465;-0,48646500;-0,88030640
-244,52495465;-0,48646500;-0,92455820
-244,36495465;-0,53025910;-0,96865750
-244,20495465;-0,57405320;-0,96865750
-244,04495466;-0,57405320;-1,01275700
-243,88495466;-0,61784720;-1,01275700
-243,72495466;-0,66164130;-1,05685600
-243,56495466;-0,66164130;-1,10110800
-243,40495466;-0,70543530;-1,14520700
-243,24495466;-0,74922940;-1,14520700
-243,08495466;-0,74922940;-1,18930600
-242,92495466;-0,79302350;-1,18930600
-242,76495466;-0,79302350;-1,23340600
-242,60495466;-0,88061160;-1,27765700
-242,44495467;-0,92440560;-1,32175700
-242,28495467;-0,92440560;-1,32175700
-242,12495467;-0,96819970;-1,36585600
-241,96495467;-0,96819970;-1,36585600
-241,80495467;-1,01214600;-1,41010800
-241,64495467;-1,01214600;-1,41010800
-241,48495467;-1,09973500;-1,49830600
-241,32495467;-1,09973500;-1,49830600
-241,16495467;-1,14352900;-1,49830600
-241,00495467;-1,14352900;-1,54240500
-240,84495467;-1,18732300;-1,58665700
-240,68495468;-1,18732300;-1,58665700
-240,52495468;-1,27491100;-1,63075600
-240,36495468;-1,27491100;-1,67485600
-240,20495468;-1,27491100;-1,67485600
-240,04495468;-1,31870500;-1,71895500
-239,88495468;-1,36249900;-1,71895500
-239,72495468;-1,36249900;-1,76320700
-239,56495468;-1,40629300;-1,80730600
-239,40495468;-1,45008700;-1,85140500
-239,24495468;-1,49388100;-1,85140500
-239,08495469;-1,49388100;-1,89550500
-238,92495469;-1,53767500;-1,89550500
-238,76495469;-1,53767500;-1,89550500
-238,60495469;-1,58162200;-1,93975700
-238,44495469;-1,58162200;-1,98385600
-238,28495469;-1,62541600;-2,02795500
-238,12495469;-1,62541600;-2,02795500
-237,96495469;-1,66921000;-2,07220700
-237,80495469;-1,66921000;-2,07220700
-237,64495469;-1,71300400;-2,11630600
-237,48495470;-1,71300400;-2,11630600
-237,32495470;-1,75679800;-2,16040500
-237,16495470;-1,80059200;-2,16040500
-237,00495470;-1,80059200;-2,20450400
-236,84495470;-1,84438600;-2,20450400
-236,68495470;-1,84438600;-2,24875600
-236,52495470;-1,88818000;-2,24875600
-236,36495470;-1,93197400;-2,29285600
-236,20495470;-1,93197400;-2,33695500
-236,04495470;-1,97576800;-2,33695500
-235,88495471;-1,97576800;-2,38105400
-235,72495471;-2,01956200;-2,38105400
-235,56495471;-2,01956200;-2,38105400
-235,40495471;-2,06335600;-2,42530600
-235,24495471;-2,06335600;-2,42530600
-235,08495471;-2,06335600;-2,46940500
-234,92495471;-2,10715100;-2,46940500
-234,76495471;-2,15109700;-2,51350500
-234,60495471;-2,15109700;-2,51350500
-234,44495471;-2,19489100;-2,55760400
-234,28495471;-2,19489100;-2,55760400
-234,12495472;-2,23868500;-2,55760400
-233,96495472;-2,28247900;-2,60185600
-233,80495472;-2,28247900;-2,60185600
-233,64495472;-2,28247900;-2,64595500
-233,48495472;-2,32627300;-2,64595500
-233,32495472;-2,32627300;-2,64595500
-233,16495472;-2,37006700;-2,69005400
-233,00495472;-2,37006700;-2,69005400
-232,84495472;-2,41386200;-2,73430600
-232,68495472;-2,41386200;-2,73430600
-232,52495473;-2,41386200;-2,73430600
-232,36495473;-2,45765600;-2,77840500
-232,20495473;-2,50145000;-2,77840500
-232,04495473;-2,50145000;-2,77840500
-231,88495473;-2,50145000;-2,77840500
-231,72495473;-2,50145000;-2,82250400
-231,56495473;-2,54524400;-2,82250400
-231,40495473;-2,54524400;-2,82250400
-231,24495473;-2,58903800;-2,86660400
-231,08495473;-2,58903800;-2,91085600
-230,92495474;-2,58903800;-2,91085600
-230,76495474;-2,63283200;-2,91085600
-230,60495474;-2,63283200;-2,91085600
-230,44495474;-2,67677900;-2,91085600
-230,28495474;-2,67677900;-2,95495500
-230,12495474;-2,67677900;-2,95495500
-229,96495474;-2,67677900;-2,95495500
-229,80495474;-2,72057200;-2,95495500
-229,64495474;-2,72057200;-2,95495500
-229,48495474;-2,72057200;-2,95495500
-229,32495474;-2,76436700;-2,99905400
-229,16495475;-2,76436700;-2,99905400
-229,00495475;-2,76436700;-3,04315300
-228,84495475;-2,76436700;-3,04315300
-228,68495475;-2,76436700;-3,04315300
-228,52495475;-2,80816100;-3,04315300
-228,36495475;-2,85195500;-3,04315300
-228,20495475;-2,85195500;-3,04315300
-228,04495475;-2,85195500;-3,08740500
-227,88495475;-2,85195500;-3,08740500
-227,72495475;-2,85195500;-3,08740500
-227,56495476;-2,85195500;-3,08740500
-227,40495476;-2,89574900;-3,08740500
-227,24495476;-2,89574900;-3,08740500
-227,08495476;-2,89574900;-3,08740500
-226,92495476;-2,89574900;-3,08740500
-226,76495476;-2,89574900;-3,08740500
-226,60495476;-2,89574900;-3,08740500
-226,44495476;-2,93954300;-3,13150400
-226,28495476;-2,93954300;-3,08740500
-226,12495476;-2,93954300;-3,08740500
-225,96495477;-2,93954300;-3,13150400
-225,80495477;-2,93954300;-3,13150400
-225,64495477;-2,98333700;-3,13150400
-225,48495477;-2,98333700;-3,13150400
-225,32495477;-2,98333700;-3,13150400
-225,16495477;-2,98333700;-3,13150400
-225,00495477;-2,98333700;-3,13150400
-224,84495477;-3,02713100;-3,13150400
-224,68495477;-2,98333700;-3,13150400
-224,52495477;-3,02713100;-3,13150400
-224,36495478;-3,02713100;-3,13150400
-224,20495478;-3,02713100;-3,13150400
-224,04495478;-3,02713100;-3,13150400
-223,88495478;-3,02713100;-3,17560300
-223,72495478;-3,02713100;-3,13150400
-223,56495478;-3,02713100;-3,13150400
-223,40495478;-3,02713100;-3,13150400
-223,24495478;-3,02713100;-3,13150400
-223,08495478;-3,02713100;-3,13150400
-222,92495478;-3,02713100;-3,08740500
-222,76495478;-3,02713100;-3,13150400
-222,60495479;-3,02713100;-3,08740500
-222,44495479;-3,02713100;-3,08740500
-222,28495479;-3,02713100;-3,13150400
-222,12495479;-3,02713100;-3,13150400
-221,96495479;-3,02713100;-3,08740500
-221,80495479;-3,02713100;-3,08740500
-221,64495479;-3,02713100;-3,08740500
-221,48495479;-3,02713100;-3,08740500
-221,32495479;-3,02713100;-3,08740500
-221,16495479;-3,02713100;-3,08740500
-221,00495480;-3,02713100;-3,08740500
-220,84495480;-3,02713100;-3,08740500
-220,68495480;-3,02713100;-3,04315300
-220,52495480;-3,02713100;-3,08740500
-220,36495480;-3,02713100;-3,04315300
-220,20495480;-3,02713100;-3,04315300
-220,04495480;-3,02713100;-3,04315300
-219,88495480;-2,98333700;-2,99905400
-219,72495480;-3,02713100;-3,04315300
-219,56495480;-2,98333700;-2,99905400
-219,40495481;-2,98333700;-2,99905400
-219,24495481;-2,98333700;-2,99905400
-219,08495481;-2,98333700;-2,95495500
-218,92495481;-2,98333700;-2,95495500
-218,76495481;-2,93954300;-2,95495500
-218,60495481;-2,93954300;-2,95495500
-218,44495481;-2,93954300;-2,95495500
-218,28495481;-2,93954300;-2,91085600
-218,12495481;-2,93954300;-2,95495500
-217,96495481;-2,89574900;-2,91085600
-217,80495481;-2,89574900;-2,91085600
-217,64495482;-2,89574900;-2,91085600
-217,48495482;-2,89574900;-2,86660400
-217,32495482;-2,89574900;-2,86660400
-217,16495482;-2,85195500;-2,86660400
-217,00495482;-2,85195500;-2,82250400
-216,84495482;-2,85195500;-2,82250400
-216,68495482;-2,85195500;-2,77840500
-216,52495482;-2,80816100;-2,77840500
-216,36495482;-2,80816100;-2,77840500
-216,20495482;-2,80816100;-2,77840500
-216,04495483;-2,80816100;-2,73430600
-215,88495483;-2,76436700;-2,73430600
-215,72495483;-2,76436700;-2,73430600
-215,56495483;-2,76436700;-2,69005400
-215,40495483;-2,72057200;-2,69005400
-215,24495483;-2,72057200;-2,69005400
-215,08495483;-2,72057200;-2,64595500
-214,92495483;-2,72057200;-2,64595500
-214,76495483;-2,67677900;-2,60185600
-214,60495483;-2,67677900;-2,60185600
-214,44495484;-2,67677900;-2,55760400
-214,28495484;-2,67677900;-2,55760400
-214,12495484;-2,63283200;-2,55760400
-213,96495484;-2,63283200;-2,51350500
-213,80495484;-2,58903800;-2,51350500
-213,64495484;-2,58903800;-2,46940500
-213,48495484;-2,58903800;-2,46940500
-213,32495484;-2,58903800;-2,42530600
-213,16495484;-2,54524400;-2,42530600
-213,00495484;-2,54524400;-2,42530600
-212,84495485;-2,50145000;-2,38105400
-212,68495485;-2,50145000;-2,38105400
-212,52495485;-2,50145000;-2,33695500
-212,36495485;-2,45765600;-2,33695500
-212,20495485;-2,41386200;-2,29285600
-212,04495485;-2,41386200;-2,29285600
-211,88495485;-2,37006700;-2,24875600
-211,72495485;-2,37006700;-2,20450400
-211,56495485;-2,37006700;-2,20450400
-211,40495485;-2,32627300;-2,16040500
-211,24495485;-2,32627300;-2,16040500
-211,08495486;-2,28247900;-2,11630600
-210,92495486;-2,28247900;-2,11630600
-210,76495486;-2,23868500;-2,07220700
-210,60495486;-2,23868500;-2,02795500
-210,44495486;-2,19489100;-2,02795500
-210,28495486;-2,19489100;-1,98385600
-210,12495486;-2,19489100;-1,98385600
-209,96495486;-2,15109700;-1,93975700
-209,80495486;-2,10715100;-1,89550500
-209,64495486;-2,06335600;-1,89550500
-209,48495487;-2,06335600;-1,89550500
-209,32495487;-2,06335600;-1,85140500
-209,16495487;-2,01956200;-1,85140500
-209,00495487;-2,01956200;-1,80730600
-208,84495487;-1,97576800;-1,76320700
-208,68495487;-1,97576800;-1,71895500
-208,52495487;-1,93197400;-1,71895500
-208,36495487;-1,88818000;-1,67485600
-208,20495487;-1,88818000;-1,67485600
-208,04495487;-1,84438600;-1,63075600
-207,88495488;-1,84438600;-1,63075600
