Time;Channel A;Channel B;A - B
(s);(V);(V);(V)

-2,51969600;-3,34040400;-3,84685800;0,50645450
-2,51936200;-3,34040400;-3,84685800;0,46052430
-2,51902800;-3,34040400;-3,80092800;0,46052430
-2,51869400;-3,34040400;-3,80092800;0,41474650
-2,51836000;-3,34040400;-3,75515000;0,41474650
-2,51802600;-3,34040400;-3,75515000;0,41474650
-2,51769200;-3,34040400;-3,75515000;0,41474650
-2,51735800;-3,34040400;-3,75515000;0,41474650
-2,51702400;-3,34040400;-3,75515000;0,36896870
-2,51669000;-3,34040400;-3,70937200;0,32319090
-2,51635600;-3,34040400;-3,66359400;0,32319090
-2,51602200;-3,34040400;-3,66359400;0,32319090
-2,51568800;-3,34040400;-3,66359400;0,32319090
-2,51535400;-3,34040400;-3,66359400;0,32319090
-2,51502000;-3,34040400;-3,66359400;0,32319090
-2,51468600;-3,34040400;-3,66359400;0,32319090
-2,51435200;-3,34040400;-3,66359400;0,32319090
-2,51401800;-3,34040400;-3,66359400;0,27726050
-2,51368400;-3,34040400;-3,61766400;0,32242800
-2,51335000;-3,29523600;-3,61766400;0,23148270
-2,51301600;-3,34040400;-3,57188600;0,23148270
-2,51268200;-3,34040400;-3,57188600;0,23148270
-2,51234800;-3,34040400;-3,57188600;0,23148270
-2,51201400;-3,34040400;-3,57188600;0,23148270
-2,51168000;-3,34040400;-3,57188600;0,18570490
-2,51134600;-3,34040400;-3,52610900;0,18509460
-2,51101200;-3,29523600;-3,48033100;0,13992710
-2,51067800;-3,34040400;-3,48033100;0,13992710
-2,51034400;-3,34040400;-3,48033100;0,13992710
-2,51001000;-3,34040400;-3,48033100;0,13992710
-2,50967600;-3,34040400;-3,48033100;0,18509460
-2,50934200;-3,29523600;-3,48033100;0,09399700
-2,50900800;-3,34040400;-3,43440100;0,13992710
-2,50867400;-3,34040400;-3,48033100;0,09399700
-2,50834000;-3,34040400;-3,43440100;0,09399700
-2,50800600;-3,34040400;-3,43440100;0,09399700
-2,50767200;-3,34040400;-3,43440100;0,04821920
-2,50733800;-3,34040400;-3,38862300;0,09338665
-2,50700400;-3,29523600;-3,38862300;0,04821920
-2,50667000;-3,34040400;-3,38862300;0,00244141
-2,50633600;-3,34040400;-3,34284500;0,00244141
-2,50600200;-3,34040400;-3,34284500;-0,04333639
-2,50566800;-3,34040400;-3,29706700;-0,04333639
-2,50533400;-3,34040400;-3,29706700;-0,04333639
-2,50500000;-3,34040400;-3,29706700;-0,04333639
-2,50466600;-3,34040400;-3,29706700;-0,04333639
-2,50433200;-3,34040400;-3,29706700;-0,04333639
-2,50399800;-3,34040400;-3,29706700;-0,04333639
-2,50366400;-3,34040400;-3,29706700;-0,04333639
-2,50333000;-3,34040400;-3,29706700;-0,04333639
-2,50299600;-3,34040400;-3,29706700;-0,08926678
-2,50266200;-3,34040400;-3,25113700;-0,13504460
-2,50232800;-3,34040400;-3,20535900;-0,13504460
-2,50199400;-3,34040400;-3,20535900;-0,13504460
-2,50166000;-3,34040400;-3,20535900;-0,13504460
-2,50132600;-3,34040400;-3,20535900;-0,13504460
-2,50099200;-3,34040400;-3,20535900;-0,18082240
-2,50065800;-3,34040400;-3,15958100;-0,13504460
-2,50032400;-3,34040400;-3,20535900;-0,18082240
-2,49999000;-3,34040400;-3,15958100;-0,18082240
-2,49965600;-3,34040400;-3,15958100;-0,18082240
-2,49932200;-3,34040400;-3,15958100;-0,22659990
-2,49898800;-3,34040400;-3,11380400;-0,22659990
-2,49865400;-3,34040400;-3,11380400;-0,22659990
-2,49832000;-3,34040400;-3,11380400;-0,22659990
-2,49798600;-3,34040400;-3,11380400;-0,22659990
-2,49765200;-3,34040400;-3,11380400;-0,27253030
-2,49731800;-3,34040400;-3,06787300;-0,27253030
-2,49698400;-3,34040400;-3,06787300;-0,27253030
-2,49665000;-3,34040400;-3,06787300;-0,31830810
-2,49631600;-3,34040400;-3,02209500;-0,31830810
-2,49598200;-3,34040400;-3,02209500;-0,31830810
-2,49564800;-3,34040400;-3,02209500;-0,31830810
-2,49531400;-3,34040400;-3,02209500;-0,31830810
-2,49498000;-3,34040400;-3,02209500;-0,31830810
-2,49464600;-3,34040400;-3,02209500;-0,36408590
-2,49431200;-3,34040400;-2,97631800;-0,36408590
-2,49397800;-3,34040400;-2,97631800;-0,36408590
-2,49364400;-3,34040400;-2,97631800;-0,36408590
-2,49331000;-3,34040400;-2,97631800;-0,40986370
-2,49297600;-3,34040400;-2,93054000;-0,40986370
-2,49264200;-3,34040400;-2,93054000;-0,40986370
-2,49230800;-3,34040400;-2,93054000;-0,40986370
-2,49197400;-3,34040400;-2,93054000;-0,40986370
-2,49164000;-3,34040400;-2,93054000;-0,40986370
-2,49130600;-3,34040400;-2,93054000;-0,40986370
-2,49097200;-3,34040400;-2,93054000;-0,40986370
-2,49063800;-3,34040400;-2,93054000;-0,45579410
-2,49030400;-3,34040400;-2,88460900;-0,45579410
-2,48997000;-3,34040400;-2,88460900;-0,45579410
-2,48963600;-3,34040400;-2,88460900;-0,50157190
-2,48930200;-3,34040400;-2,83883200;-0,50157190
-2,48896800;-3,34040400;-2,83883200;-0,50157190
-2,48863400;-3,34040400;-2,83883200;-0,50157190
-2,48830000;-3,34040400;-2,83883200;-0,50157190
-2,48796600;-3,34040400;-2,83883200;-0,54734950
-2,48763200;-3,34040400;-2,79305400;-0,54734950
-2,48729800;-3,34040400;-2,79305400;-0,54734950
-2,48696400;-3,34040400;-2,79305400;-0,59312730
-2,48663000;-3,34040400;-2,74727600;-0,59312730
-2,48629600;-3,34040400;-2,74727600;-0,59312730
-2,48596200;-3,34040400;-2,74727600;-0,59312730
-2,48562800;-3,34040400;-2,74727600;-0,59312730
-2,48529400;-3,34040400;-2,74727600;-0,59312730
-2,48496000;-3,34040400;-2,74727600;-0,59312730
-2,48462600;-3,34040400;-2,74727600;-0,63905760
-2,48429200;-3,34040400;-2,70134600;-0,59312730
-2,48395800;-3,34040400;-2,74727600;-0,63905760
-2,48362400;-3,34040400;-2,70134600;-0,63905760
-2,48329000;-3,34040400;-2,70134600;-0,68483540
-2,48295600;-3,34040400;-2,65556800;-0,68483540
-2,48262200;-3,34040400;-2,65556800;-0,63966800
-2,48228800;-3,29523600;-2,65556800;-0,68483540
-2,48195400;-3,34040400;-2,65556800;-0,68483540
-2,48162000;-3,34040400;-2,65556800;-0,68483540
-2,48128600;-3,34040400;-2,65556800;-0,73061320
-2,48095200;-3,34040400;-2,60979000;-0,73061320
-2,48061800;-3,34040400;-2,60979000;-0,77639100
-2,48028400;-3,34040400;-2,56401300;-0,73061320
-2,47995000;-3,34040400;-2,60979000;-0,73061320
-2,47961600;-3,34040400;-2,60979000;-0,77639100
-2,47928200;-3,34040400;-2,56401300;-0,77639100
-2,47894800;-3,34040400;-2,56401300;-0,77639100
-2,47861400;-3,34040400;-2,56401300;-0,77639100
-2,47828000;-3,34040400;-2,56401300;-0,77639100
-2,47794600;-3,34040400;-2,56401300;-0,77639100
-2,47761200;-3,34040400;-2,56401300;-0,77639100
-2,47727800;-3,34040400;-2,56401300;-0,77639100
-2,47694400;-3,34040400;-2,56401300;-0,77639100
-2,47661000;-3,34040400;-2,56401300;-0,77639100
-2,47627600;-3,34040400;-2,56401300;-0,86809920
-2,47594200;-3,34040400;-2,47230400;-0,82232140
-2,47560800;-3,34040400;-2,51808200;-0,86809920
-2,47527400;-3,34040400;-2,47230400;-0,86809920
-2,47494000;-3,34040400;-2,47230400;-0,86809920
-2,47460600;-3,34040400;-2,47230400;-0,86809920
-2,47427200;-3,34040400;-2,47230400;-0,86809920
-2,47393800;-3,34040400;-2,47230400;-0,86809920
-2,47360400;-3,34040400;-2,47230400;-0,86809920
-2,47327000;-3,34040400;-2,47230400;-0,91387680
-2,47293600;-3,34040400;-2,42652700;-0,86809920
-2,47260200;-3,34040400;-2,47230400;-0,95965460
-2,47226800;-3,34040400;-2,38074900;-0,91387680
-2,47193400;-3,34040400;-2,42652700;-0,91387680
-2,47160000;-3,34040400;-2,42652700;-0,95965460
-2,47126600;-3,34040400;-2,38074900;-0,95965460
-2,47093200;-3,34040400;-2,38074900;-0,95965460
-2,47059800;-3,34040400;-2,38074900;-0,95965460
-2,47026400;-3,34040400;-2,38074900;-0,95965460
-2,46993000;-3,34040400;-2,38074900;-0,95965460
-2,46959600;-3,34040400;-2,38074900;-0,95965460
-2,46926200;-3,34040400;-2,38074900;-0,95965460
-2,46892800;-3,34040400;-2,38074900;-1,00558500
-2,46859400;-3,34040400;-2,33481900;-1,05136300
-2,46826000;-3,34040400;-2,28904100;-1,00558500
-2,46792600;-3,34040400;-2,33481900;-1,00558500
-2,46759200;-3,34040400;-2,33481900;-1,00558500
-2,46725800;-3,34040400;-2,33481900;-1,05136300
-2,46692400;-3,34040400;-2,28904100;-1,05136300
-2,46659000;-3,34040400;-2,28904100;-1,05136300
-2,46625600;-3,34040400;-2,28904100;-1,09714100
-2,46592200;-3,34040400;-2,24326300;-1,05136300
-2,46558800;-3,34040400;-2,28904100;-1,09714100
-2,46525400;-3,34040400;-2,24326300;-1,05136300
-2,46492000;-3,34040400;-2,28904100;-1,09714100
-2,46458600;-3,34040400;-2,24326300;-1,14291800
-2,46425200;-3,34040400;-2,19748500;-1,14291800
-2,46391800;-3,34040400;-2,19748500;-1,14291800
-2,46358400;-3,34040400;-2,19748500;-1,14291800
-2,46325000;-3,34040400;-2,19748500;-1,14291800
-2,46291600;-3,34040400;-2,19748500;-1,14291800
-2,46258200;-3,34040400;-2,19748500;-1,14291800
-2,46224800;-3,34040400;-2,19748500;-1,14291800
-2,46191400;-3,34040400;-2,19748500;-1,14291800
-2,46158000;-3,34040400;-2,19748500;-1,18884900
-2,46124600;-3,34040400;-2,15155500;-1,14291800
-2,46091200;-3,34040400;-2,19748500;-1,18884900
-2,46057800;-3,34040400;-2,15155500;-1,18884900
-2,46024400;-3,34040400;-2,15155500;-1,23462600
-2,45991000;-3,34040400;-2,10577700;-1,18884900
-2,45957600;-3,34040400;-2,15155500;-1,23462600
-2,45924200;-3,34040400;-2,10577700;-1,23462600
-2,45890800;-3,34040400;-2,10577700;-1,23462600
-2,45857400;-3,34040400;-2,10577700;-1,23462600
-2,45824000;-3,34040400;-2,10577700;-1,23462600
-2,45790600;-3,34040400;-2,10577700;-1,23462600
-2,45757200;-3,34040400;-2,10577700;-1,23462600
-2,45723800;-3,34040400;-2,10577700;-1,23462600
-2,45690400;-3,34040400;-2,10577700;-1,23462600
-2,45657000;-3,34040400;-2,10577700;-1,23523700
-2,45623600;-3,29523600;-2,05999900;-1,23462600
-2,45590200;-3,34040400;-2,10577700;-1,28040400
-2,45556800;-3,34040400;-2,05999900;-1,28040400
-2,45523400;-3,34040400;-2,05999900;-1,32618200
-2,45490000;-3,34040400;-2,01422200;-1,32618200
-2,45456600;-3,34040400;-2,01422200;-1,32618200
-2,45423200;-3,34040400;-2,01422200;-1,32618200
-2,45389800;-3,34040400;-2,01422200;-1,32618200
-2,45356400;-3,34040400;-2,01422200;-1,32618200
-2,45323000;-3,34040400;-2,01422200;-1,28101400
-2,45289599;-3,29523600;-2,01422200;-1,32618200
-2,45256199;-3,34040400;-2,01422200;-1,32618200
-2,45222799;-3,34040400;-2,01422200;-1,32618200
-2,45189399;-3,34040400;-2,01422200;-1,32618200
-2,45155999;-3,34040400;-2,01422200;-1,32618200
-2,45122599;-3,34040400;-2,01422200;-1,37211200
-2,45089199;-3,34040400;-1,96829100;-1,37211200
-2,45055799;-3,34040400;-1,96829100;-1,32618200
-2,45022399;-3,34040400;-2,01422200;-1,37211200
-2,44988999;-3,34040400;-1,96829100;-1,37211200
-2,44955599;-3,34040400;-1,96829100;-1,41789000
-2,44922199;-3,34040400;-1,92251300;-1,41789000
-2,44888799;-3,34040400;-1,92251300;-1,41789000
-2,44855399;-3,34040400;-1,92251300;-1,41789000
-2,44821999;-3,34040400;-1,92251300;-1,41789000
-2,44788599;-3,34040400;-1,92251300;-1,41789000
-2,44755199;-3,34040400;-1,92251300;-1,41789000
-2,44721799;-3,34040400;-1,92251300;-1,46366800
-2,44688399;-3,34040400;-1,87673600;-1,41789000
-2,44654999;-3,34040400;-1,92251300;-1,46366800
-2,44621599;-3,34040400;-1,87673600;-1,41789000
-2,44588199;-3,34040400;-1,92251300;-1,46366800
-2,44554799;-3,34040400;-1,87673600;-1,46366800
-2,44521399;-3,34040400;-1,87673600;-1,50944600
-2,44487999;-3,34040400;-1,83095800;-1,46427800
-2,44454599;-3,29523600;-1,83095800;-1,50944600
-2,44421199;-3,34040400;-1,83095800;-1,50944600
-2,44387799;-3,34040400;-1,83095800;-1,50944600
-2,44354399;-3,34040400;-1,83095800;-1,50944600
-2,44320999;-3,34040400;-1,83095800;-1,46427800
-2,44287599;-3,29523600;-1,83095800;-1,50944600
-2,44254199;-3,34040400;-1,83095800;-1,50944600
-2,44220799;-3,34040400;-1,83095800;-1,50944600
-2,44187399;-3,34040400;-1,83095800;-1,50944600
-2,44153999;-3,34040400;-1,83095800;-1,55537600
-2,44120599;-3,34040400;-1,78502800;-1,50944600
-2,44087199;-3,34040400;-1,83095800;-1,50944600
-2,44053799;-3,34040400;-1,83095800;-1,50944600
-2,44020399;-3,34040400;-1,83095800;-1,55537600
-2,43986999;-3,34040400;-1,78502800;-1,60115400
-2,43953599;-3,34040400;-1,73925000;-1,60115400
-2,43920199;-3,34040400;-1,73925000;-1,55537600
-2,43886799;-3,34040400;-1,78502800;-1,55598600
-2,43853399;-3,29523600;-1,73925000;-1,60115400
-2,43819999;-3,34040400;-1,73925000;-1,60115400
-2,43786599;-3,34040400;-1,73925000;-1,60115400
-2,43753199;-3,34040400;-1,73925000;-1,60115400
-2,43719799;-3,34040400;-1,73925000;-1,60115400
-2,43686399;-3,34040400;-1,73925000;-1,55598600
-2,43652999;-3,29523600;-1,73925000;-1,60115400
-2,43619599;-3,34040400;-1,73925000;-1,60115400
-2,43586199;-3,34040400;-1,73925000;-1,64693100
-2,43552799;-3,34040400;-1,69347200;-1,64693100
-2,43519399;-3,34040400;-1,69347200;-1,64693100
-2,43485999;-3,34040400;-1,69347200;-1,64693100
-2,43452599;-3,34040400;-1,69347200;-1,64693100
-2,43419199;-3,34040400;-1,69347200;-1,64693100
-2,43385799;-3,34040400;-1,69347200;-1,69270900
-2,43352399;-3,34040400;-1,64769400;-1,69270900
-2,43318999;-3,34040400;-1,64769400;-1,69270900
-2,43285599;-3,34040400;-1,64769400;-1,69270900
-2,43252199;-3,34040400;-1,64769400;-1,69270900
-2,43218799;-3,34040400;-1,64769400;-1,69270900
-2,43185399;-3,34040400;-1,64769400;-1,69270900
-2,43151999;-3,34040400;-1,64769400;-1,69270900
-2,43118599;-3,34040400;-1,64769400;-1,69270900
-2,43085199;-3,34040400;-1,64769400;-1,69270900
-2,43051799;-3,34040400;-1,64769400;-1,69270900
-2,43018399;-3,34040400;-1,64769400;-1,73864000
-2,42984999;-3,34040400;-1,60176400;-1,73864000
-2,42951599;-3,34040400;-1,60176400;-1,73864000
-2,42918199;-3,34040400;-1,60176400;-1,73864000
-2,42884799;-3,34040400;-1,60176400;-1,73864000
-2,42851399;-3,34040400;-1,60176400;-1,73864000
-2,42817999;-3,34040400;-1,60176400;-1,78441700
-2,42784599;-3,34040400;-1,55598600;-1,73864000
-2,42751199;-3,34040400;-1,60176400;-1,78441700
-2,42717799;-3,34040400;-1,55598600;-1,78441700
-2,42684399;-3,34040400;-1,55598600;-1,78441700
-2,42650999;-3,34040400;-1,55598600;-1,78441700
-2,42617599;-3,34040400;-1,55598600;-1,78441700
-2,42584199;-3,34040400;-1,55598600;-1,78441700
-2,42550799;-3,34040400;-1,55598600;-1,78441700
-2,42517399;-3,34040400;-1,55598600;-1,78441700
-2,42483999;-3,34040400;-1,55598600;-1,78441700
-2,42450599;-3,34040400;-1,55598600;-1,83019500
-2,42417199;-3,34040400;-1,51020800;-1,78441700
-2,42383799;-3,34040400;-1,55598600;-1,78441700
-2,42350399;-3,34040400;-1,55598600;-1,83019500
-2,42316999;-3,34040400;-1,51020800;-1,83019500
-2,42283599;-3,34040400;-1,51020800;-1,87597300
-2,42250199;-3,34040400;-1,46443100;-1,87597300
-2,42216799;-3,34040400;-1,46443100;-1,87597300
-2,42183399;-3,34040400;-1,46443100;-1,87597300
-2,42149999;-3,34040400;-1,46443100;-1,87597300
-2,42116599;-3,34040400;-1,46443100;-1,87597300
-2,42083199;-3,34040400;-1,46443100;-1,87597300
-2,42049799;-3,34040400;-1,46443100;-1,87597300
-2,42016399;-3,34040400;-1,46443100;-1,87597300
-2,41982999;-3,34040400;-1,46443100;-1,87597300
-2,41949599;-3,34040400;-1,46443100;-1,87597300
-2,41916199;-3,34040400;-1,46443100;-1,87597300
-2,41882799;-3,34040400;-1,46443100;-1,87597300
-2,41849399;-3,34040400;-1,46443100;-1,87597300
-2,41815999;-3,34040400;-1,46443100;-1,87597300
-2,41782599;-3,34040400;-1,46443100;-1,87597300
-2,41749199;-3,34040400;-1,46443100;-1,87597300
-2,41715799;-3,34040400;-1,46443100;-1,92190300
-2,41682399;-3,34040400;-1,41850000;-1,87597300
-2,41648999;-3,34040400;-1,46443100;-1,87597300
-2,41615599;-3,34040400;-1,46443100;-1,92190300
-2,41582199;-3,34040400;-1,41850000;-1,92190300
-2,41548799;-3,34040400;-1,41850000;-1,92190300
-2,41515399;-3,34040400;-1,41850000;-1,92190300
-2,41481999;-3,34040400;-1,41850000;-1,96768100
-2,41448599;-3,34040400;-1,37272300;-1,92190300
-2,41415199;-3,34040400;-1,41850000;-1,92251400
-2,41381799;-3,29523600;-1,37272300;-1,96768100
-2,41348399;-3,34040400;-1,37272300;-1,96768100
-2,41314999;-3,34040400;-1,37272300;-1,96768100
-2,41281599;-3,34040400;-1,37272300;-1,96768100
-2,41248199;-3,34040400;-1,37272300;-1,96768100
-2,41214799;-3,34040400;-1,37272300;-1,96768100
-2,41181399;-3,34040400;-1,37272300;-1,96768100
-2,41147999;-3,34040400;-1,37272300;-1,96768100
-2,41114599;-3,34040400;-1,37272300;-1,96768100
-2,41081199;-3,34040400;-1,37272300;-2,01345900
-2,41047799;-3,34040400;-1,32694500;-2,01345900
-2,41014399;-3,34040400;-1,32694500;-1,96768100
-2,40980999;-3,34040400;-1,37272300;-2,01345900
-2,40947599;-3,34040400;-1,32694500;-2,01345900
-2,40914199;-3,34040400;-1,32694500;-2,01345900
-2,40880799;-3,34040400;-1,32694500;-2,05923700
-2,40847399;-3,34040400;-1,28116700;-2,01345900
-2,40813999;-3,34040400;-1,32694500;-2,01345900
-2,40780599;-3,34040400;-1,32694500;-2,05923700
-2,40747199;-3,34040400;-1,28116700;-2,05923700
-2,40713799;-3,34040400;-1,28116700;-2,05923700
-2,40680399;-3,34040400;-1,28116700;-2,05923700
-2,40646999;-3,34040400;-1,28116700;-2,05923700
-2,40613599;-3,34040400;-1,28116700;-2,05923700
-2,40580199;-3,34040400;-1,28116700;-2,05923700
-2,40546799;-3,34040400;-1,28116700;-2,01406900
-2,40513399;-3,29523600;-1,28116700;-2,05923700
-2,40479999;-3,34040400;-1,28116700;-2,05923700
-2,40446599;-3,34040400;-1,28116700;-2,05923700
-2,40413199;-3,34040400;-1,28116700;-2,05923700
-2,40379799;-3,34040400;-1,28116700;-2,01406900
-2,40346399;-3,29523600;-1,28116700;-2,05923700
-2,40312999;-3,34040400;-1,28116700;-2,05923700
-2,40279599;-3,34040400;-1,28116700;-2,05923700
-2,40246199;-3,34040400;-1,28116700;-2,05923700
-2,40212799;-3,34040400;-1,28116700;-2,05923700
-2,40179399;-3,34040400;-1,28116700;-2,05923700
-2,40145999;-3,34040400;-1,28116700;-2,05923700
-2,40112599;-3,34040400;-1,28116700;-2,05923700
-2,40079199;-3,34040400;-1,28116700;-2,10516700
-2,40045799;-3,34040400;-1,23523700;-2,10516700
-2,40012399;-3,34040400;-1,23523700;-2,10516700
-2,39978999;-3,34040400;-1,23523700;-2,10516700
-2,39945599;-3,34040400;-1,23523700;-2,15094500
-2,39912199;-3,34040400;-1,18945900;-2,15094500
-2,39878799;-3,34040400;-1,18945900;-2,15094500
-2,39845399;-3,34040400;-1,18945900;-2,15094500
-2,39811999;-3,34040400;-1,18945900;-2,15094500
-2,39778599;-3,34040400;-1,18945900;-2,15094500
-2,39745199;-3,34040400;-1,18945900;-2,15094500
-2,39711799;-3,34040400;-1,18945900;-2,15094500
-2,39678399;-3,34040400;-1,18945900;-2,15094500
-2,39644999;-3,34040400;-1,18945900;-2,15094500
-2,39611599;-3,34040400;-1,18945900;-2,15094500
-2,39578199;-3,34040400;-1,18945900;-2,15094500
-2,39544799;-3,34040400;-1,18945900;-2,15094500
-2,39511399;-3,34040400;-1,18945900;-2,15094500
-2,39477999;-3,34040400;-1,18945900;-2,15094500
-2,39444599;-3,34040400;-1,18945900;-2,15094500
-2,39411199;-3,34040400;-1,18945900;-2,10577700
-2,39377799;-3,29523600;-1,18945900;-2,19672300
-2,39344399;-3,34040400;-1,14368100;-2,15094500
-2,39310999;-3,34040400;-1,18945900;-2,19672300
-2,39277599;-3,34040400;-1,14368100;-2,19672300
-2,39244199;-3,34040400;-1,14368100;-2,19672300
-2,39210799;-3,34040400;-1,14368100;-2,19672300
-2,39177399;-3,34040400;-1,14368100;-2,19672300
-2,39143999;-3,34040400;-1,14368100;-2,24250000
-2,39110599;-3,34040400;-1,09790300;-2,24250000
-2,39077199;-3,34040400;-1,09790300;-2,24250000
-2,39043799;-3,34040400;-1,09790300;-2,19672300
-2,39010399;-3,34040400;-1,14368100;-2,24250000
-2,38976999;-3,34040400;-1,09790300;-2,24250000
-2,38943599;-3,34040400;-1,09790300;-2,19733300
-2,38910199;-3,29523600;-1,09790300;-2,24250000
-2,38876799;-3,34040400;-1,09790300;-2,24250000
-2,38843399;-3,34040400;-1,09790300;-2,24250000
-2,38809999;-3,34040400;-1,09790300;-2,24250000
-2,38776599;-3,34040400;-1,09790300;-2,24250000
-2,38743199;-3,34040400;-1,09790300;-2,24250000
-2,38709799;-3,34040400;-1,09790300;-2,24250000
