Temps;Canal A;Canal B
(us);(V);(V)

-100,15973385;2,34931500;1,32297700
-100,07973385;2,34931500;1,32297700
-99,99973385;2,25959000;1,32297700
-99,91973385;2,25959000;1,23355800
-99,83973385;2,25959000;1,23355800
-99,75973385;2,17017100;1,23355800
-99,67973385;2,17017100;1,23355800
-99,59973385;2,08044700;1,14383400
-99,51973385;2,08044700;1,14383400
-99,43973385;1,99072200;1,14383400
-99,35973385;1,90130300;1,05441500
-99,27973385;1,90130300;1,14383400
-99,19973385;1,81157900;1,05441500
-99,11973385;1,72185400;1,05441500
-99,03973385;1,72185400;0,96469010
-98,95973385;1,63243500;0,96469010
-98,87973386;1,63243500;0,96469010
-98,79973386;1,54271100;0,96469010
-98,71973386;1,45329100;0,87527080
-98,63973386;1,36356700;0,87527080
-98,55973386;1,36356700;0,87527080
-98,47973386;1,27384300;0,87527080
-98,39973386;1,18442300;0,87527080
-98,31973386;1,18442300;0,87527080
-98,23973386;1,00497400;0,78554640
-98,15973386;1,00497400;0,78554640
-98,07973386;1,00497400;0,69582200
-97,99973386;0,82583090;0,78554640
-97,91973386;0,82583090;0,78554640
-97,83973386;0,73610650;0,78554640
-97,75973386;0,64668720;0,69582200
-97,67973386;0,55696280;0,69582200
-97,59973386;0,55696280;0,69582200
-97,51973386;0,46754360;0,69582200
-97,43973386;0,37812430;0,60640280
-97,35973386;0,28839990;0,60640280
-97,27973386;0,19898070;0,60640280
-97,19973387;0,19898070;0,60640280
-97,11973387;0,10925630;0,60640280
-97,03973387;0,01953185;0,60640280
-96,95973387;-0,06988738;0,60640280
-96,87973387;-0,06988738;0,51667840
-96,79973387;-0,15961180;0,51667840
-96,71973387;-0,33875550;0,51667840
-96,63973387;-0,42847990;0,51667840
-96,55973387;-0,42847990;0,51667840
-96,47973387;-0,51820430;0,51667840
-96,39973387;-0,60762350;0,51667840
-96,31973387;-0,60762350;0,42725910
-96,23973387;-0,78676720;0,51667840
-96,15973387;-0,78676720;0,51667840
-96,07973387;-0,87649160;0,42725910
-95,99973387;-0,96621600;0,42725910
-95,91973387;-0,96621600;0,42725910
-95,83973387;-1,05563500;0,42725910
-95,75973387;-1,14536000;0,42725910
-95,67973387;-1,23508400;0,42725910
-95,59973387;-1,23508400;0,42725910
-95,51973388;-1,32450300;0,42725910
-95,43973388;-1,41422800;0,42725910
-95,35973388;-1,50395200;0,33753470
-95,27973388;-1,50395200;0,42725910
-95,19973388;-1,50395200;0,42725910
-95,11973388;-1,59337100;0,42725910
-95,03973388;-1,68309600;0,42725910
-94,95973388;-1,68309600;0,51667840
-94,87973388;-1,77282000;0,60640280
-94,79973388;-1,86223900;0,69582200
-94,71973388;-1,86223900;0,78554640
-94,63973388;-1,86223900;0,87527080
-94,55973388;-1,95196400;0,96469010
-94,47973388;-2,04138300;1,05441500
-94,39973388;-2,04138300;1,14383400
-94,31973388;-2,13110800;1,23355800
-94,23973388;-2,22083200;1,23355800
-94,15973388;-2,22083200;1,32297700
-94,07973388;-2,22083200;1,41270200
-93,99973388;-2,22083200;1,50212100
-93,91973389;-2,31025100;1,50212100
-93,83973389;-2,31025100;1,59184600
-93,75973389;-2,31025100;1,59184600
-93,67973389;-2,39997600;1,77098900
-93,59973389;-2,39997600;1,77098900
-93,51973389;-2,39997600;1,86071300
-93,43973389;-2,39997600;1,95013300
-93,35973389;-2,48970000;1,95013300
-93,27973389;-2,48970000;1,95013300
-93,19973389;-2,57911900;2,03985700
-93,11973389;-2,57911900;2,12927700
-93,03973389;-2,57911900;2,12927700
-92,95973389;-2,57911900;2,21900100
-92,87973389;-2,57911900;2,30872500
-92,79973389;-2,57911900;2,30872500
-92,71973389;-2,57911900;2,30872500
-92,63973389;-2,57911900;2,30872500
-92,55973389;-2,57911900;2,39814400
-92,47973389;-2,57911900;2,39814400
-92,39973389;-2,57911900;2,48786900
-92,31973389;-2,57911900;2,57728800
-92,23973390;-2,57911900;2,57728800
-92,15973390;-2,57911900;2,66701200
-92,07973390;-2,57911900;2,66701200
-91,99973390;-2,57911900;2,66701200
-91,91973390;-2,57911900;2,75643200
-91,83973390;-2,48970000;2,75643200
-91,75973390;-2,48970000;2,75643200
-91,67973390;-2,48970000;2,84615600
-91,59973390;-2,48970000;2,84615600
-91,51973390;-2,39997600;2,84615600
-91,43973390;-2,39997600;2,93557500
-91,35973390;-2,31025100;2,93557500
-91,27973390;-2,31025100;3,02530000
-91,19973390;-2,31025100;3,02530000
-91,11973390;-2,22083200;3,02530000
-91,03973390;-2,22083200;3,02530000
-90,95973390;-2,22083200;3,02530000
-90,87973390;-2,13110800;3,11502400
-90,79973390;-2,04138300;3,20444300
-90,71973390;-2,04138300;3,20444300
-90,63973391;-1,95196400;3,20444300
-90,55973391;-1,95196400;3,20444300
-90,47973391;-1,86223900;3,20444300
-90,39973391;-1,86223900;3,29416800
-90,31973391;-1,86223900;3,29416800
-90,23973391;-1,77282000;3,38358700
-90,15973391;-1,68309600;3,38358700
-90,07973391;-1,59337100;3,38358700
-89,99973391;-1,50395200;3,38358700
-89,91973391;-1,50395200;3,38358700
-89,83973391;-1,41422800;3,38358700
-89,75973391;-1,32450300;3,47331200
-89,67973391;-1,32450300;3,47331200
-89,59973391;-1,23508400;3,47331200
-89,51973391;-1,14536000;3,47331200
-89,43973391;-1,14536000;3,47331200
-89,35973391;-1,05563500;3,56273100
-89,27973391;-0,96621600;3,56273100
-89,19973391;-0,87649160;3,56273100
-89,11973391;-0,78676720;3,56273100
-89,03973391;-0,78676720;3,56273100
-88,95973392;-0,69734790;3,56273100
-88,87973392;-0,60762350;3,65245500
-88,79973392;-0,51820430;3,65245500
-88,71973392;-0,42847990;3,65245500
-88,63973392;-0,42847990;3,65245500
-88,55973392;-0,33875550;3,65245500
-88,47973392;-0,24933620;3,65245500
-88,39973392;-0,15961180;3,65245500
-88,31973392;-0,06988738;3,74218000
-88,23973392;0,01953185;3,74218000
-88,15973392;0,01953185;3,74218000
-88,07973392;0,19898070;3,74218000
-87,99973392;0,19898070;3,74218000
-87,91973392;0,28839990;3,74218000
-87,83973392;0,37812430;3,74218000
-87,75973392;0,46754360;3,74218000
-87,67973392;0,55696280;3,83159900
-87,59973392;0,55696280;3,83159900
-87,51973392;0,64668720;3,74218000
-87,43973392;0,73610650;3,83159900
-87,35973393;0,73610650;3,83159900
-87,27973393;0,82583090;3,83159900
-87,19973393;0,91555530;3,83159900
-87,11973393;1,00497400;3,83159900
-87,03973393;1,00497400;3,92132300
-86,95973393;1,09469900;3,92132300
-86,87973393;1,18442300;3,92132300
-86,79973393;1,27384300;3,92132300
-86,71973393;1,36356700;3,92132300
-86,63973393;1,36356700;3,92132300
-86,55973393;1,45329100;3,92132300
-86,47973393;1,54271100;3,92132300
-86,39973393;1,54271100;3,92132300
-86,31973393;1,63243500;3,92132300
-86,23973393;1,63243500;3,92132300
-86,15973393;1,72185400;3,92132300
-86,07973393;1,72185400;3,83159900
-85,99973393;1,81157900;3,74218000
-85,91973393;1,81157900;3,74218000
-85,83973393;1,90130300;3,56273100
-85,75973393;1,99072200;3,47331200
-85,67973394;2,08044700;3,38358700
-85,59973394;2,08044700;3,29416800
-85,51973394;2,08044700;3,20444300
-85,43973394;2,17017100;3,20444300
-85,35973394;2,17017100;3,11502400
-85,27973394;2,25959000;3,02530000
-85,19973394;2,25959000;2,93557500
-85,11973394;2,25959000;2,84615600
-85,03973394;2,34931500;2,75643200
-84,95973394;2,34931500;2,75643200
-84,87973394;2,43903900;2,66701200
-84,79973394;2,43903900;2,66701200
-84,71973394;2,43903900;2,57728800
-84,63973394;2,43903900;2,48786900
-84,55973394;2,43903900;2,39814400
-84,47973394;2,52845900;2,39814400
-84,39973394;2,52845900;2,30872500
-84,31973394;2,61818300;2,30872500
-84,23973394;2,61818300;2,30872500
-84,15973394;2,61818300;2,21900100
-84,07973394;2,61818300;2,12927700
-83,99973395;2,61818300;2,12927700
-83,91973395;2,61818300;2,12927700
-83,83973395;2,61818300;2,03985700
-83,75973395;2,61818300;2,03985700
-83,67973395;2,70790700;1,95013300
-83,59973395;2,61818300;1,86071300
-83,51973395;2,61818300;1,86071300
-83,43973395;2,61818300;1,77098900
-83,35973395;2,61818300;1,77098900
-83,27973395;2,61818300;1,77098900
-83,19973395;2,52845900;1,68157000
-83,11973395;2,61818300;1,59184600
-83,03973395;2,52845900;1,59184600
-82,95973395;2,52845900;1,59184600
-82,87973395;2,43903900;1,50212100
-82,79973395;2,43903900;1,50212100
-82,71973395;2,43903900;1,41270200
-82,63973395;2,43903900;1,41270200
-82,55973395;2,34931500;1,41270200
-82,47973395;2,34931500;1,32297700
-82,39973396;2,34931500;1,32297700
-82,31973396;2,25959000;1,23355800
-82,23973396;2,25959000;1,23355800
-82,15973396;2,17017100;1,23355800
-82,07973396;2,17017100;1,23355800
-81,99973396;2,17017100;1,23355800
-81,91973396;2,08044700;1,14383400
-81,83973396;2,08044700;1,14383400
-81,75973396;1,99072200;1,05441500
-81,67973396;1,99072200;1,05441500
-81,59973396;1,90130300;1,05441500
-81,51973396;1,90130300;1,05441500
-81,43973396;1,81157900;0,96469010
-81,35973396;1,72185400;0,96469010
-81,27973396;1,72185400;0,96469010
-81,19973396;1,63243500;0,96469010
-81,11973396;1,54271100;0,96469010
-81,03973396;1,45329100;0,96469010
-80,95973396;1,36356700;0,87527080
-80,87973396;1,36356700;0,87527080
-80,79973396;1,27384300;0,87527080
-80,71973397;1,27384300;0,87527080
-80,63973397;1,09469900;0,78554640
-80,55973397;1,00497400;0,78554640
-80,47973397;1,00497400;0,78554640
-80,39973397;0,91555530;0,78554640
-80,31973397;0,82583090;0,78554640
-80,23973397;0,82583090;0,78554640
-80,15973397;0,64668720;0,69582200
-80,07973397;0,64668720;0,69582200
-79,99973397;0,55696280;0,69582200
-79,91973397;0,55696280;0,69582200
-79,83973397;0,46754360;0,60640280
-79,75973397;0,28839990;0,60640280
-79,67973397;0,28839990;0,60640280
-79,59973397;0,19898070;0,60640280
-79,51973397;0,19898070;0,60640280
-79,43973397;0,10925630;0,60640280
-79,35973397;0,01953185;0,51667840
-79,27973397;-0,06988738;0,51667840
-79,19973397;-0,15961180;0,51667840
-79,11973398;-0,15961180;0,51667840
-79,03973398;-0,24933620;0,51667840
-78,95973398;-0,42847990;0,51667840
-78,87973398;-0,42847990;0,51667840
-78,79973398;-0,51820430;0,51667840
-78,71973398;-0,60762350;0,51667840
-78,63973398;-0,69734790;0,51667840
-78,55973398;-0,78676720;0,51667840
-78,47973398;-0,78676720;0,51667840
-78,39973398;-0,87649160;0,42725910
-78,31973398;-0,96621600;0,42725910
-78,23973398;-1,05563500;0,42725910
-78,15973398;-1,05563500;0,42725910
-78,07973398;-1,14536000;0,42725910
-77,99973398;-1,23508400;0,42725910
-77,91973398;-1,23508400;0,42725910
-77,83973398;-1,32450300;0,33753470
-77,75973398;-1,41422800;0,42725910
-77,67973398;-1,50395200;0,33753470
-77,59973398;-1,50395200;0,42725910
-77,51973398;-1,59337100;0,33753470
-77,43973399;-1,59337100;0,42725910
